,1,2,3,4,5,6,7,8,9,10
1981,1970,1968,1951,1955,1962,1965,1960,1976,1969,1966
1982,1959,1953,1967,1978,1973,1971,1974,1975,1965,1952
1983,1975,1967,1962,1961,1980,1978,1964,1955,1958,1957
1984,1955,1960,1969,1981,1961,1954,1971,1958,1968,1978
1985,1969,1955,1967,1956,1965,1984,1977,1958,1960,1982
1986,1985,1965,1975,1967,1978,1980,1958,1968,1977,1966
1987,1958,1975,1967,1969,1986,1980,1977,1965,1985,1978
1988,1983,1981,1975,1962,1961,1969,1985,1968,1987,1973
1989,1968,1983,1963,1962,1967,1981,1974,1971,1985,1979
1990,1975,1967,1964,1962,1985,1973,1986,1961,1978,1983
1991,1981,1969,1970,1987,1975,1978,1965,1973,1986,1988
1992,1991,1975,1988,1990,1981,1987,1969,1962,1978,1983
1993,1975,1987,1973,1991,1980,1967,1965,1982,1979,1978
1994,1969,1987,1970,1992,1977,1993,1980,1965,1991,1973
1995,1993,1987,1975,1978,1992,1980,1990,1994,1973,1991
1996,1993,1987,1973,1991,1969,1979,1980,1985,1967,1986
1997,1982,1975,1992,1994,1995,1987,1980,1967,1974,1968
1998,1969,1970,1985,1981,1992,1994,1991,1968,1993,1997
1999,1970,1987,1991,1975,1985,1993,1969,1978,1992,1995
2000,1976,1995,1989,1970,1996,1986,1987,1998,1993,1999
2001,1986,1999,1975,1987,1978,1993,1982,1995,1994,1971
2002,1998,1988,1995,1993,1997,1975,2001,1981,1991,1973
2003,1988,1998,1997,1995,1985,1981,1992,1999,1991,1984
2004,2003,1985,1993,1998,1984,1983,1991,1992,2001,1978
2005,1995,2003,1975,1998,1985,1987,1990,1997,1993,2004
2006,1979,1999,1995,1987,2001,1980,1993,1994,1996,2002
2007,1995,2003,1987,1993,1986,2005,1999,1990,1994,1980
2008,1986,2000,1988,2001,2005,1989,2003,1999,1985,1984
2009,1987,2005,1995,1997,2001,1982,1999,2000,1993,2003
2010,2004,1981,1985,1998,1983,2003,2005,1984,2001,1993
2011,1999,1994,1987,1998,2001,1991,1993,2006,1986,1981
2012,2003,2005,2009,1995,2000,1997,1993,2008,2007,2002
2013,1987,1998,1999,1993,2001,2006,2004,2005,2009,1997
2014,1994,1987,2002,1993,2001,2007,1991,2009,1990,1998
2015,2009,2014,2013,2001,1989,1987,1997,1995,1999,2003
2016,2005,1990,1995,1998,1993,2004,1991,2003,1996,1997
2017,2004,2003,1993,2010,2005,1997,1999,2001,2016,1991
2018,1999,2006,2001,2013,1995,2003,2009,1991,2002,2008
2019,2005,2012,1990,2016,1991,2004,2000,2003,2014,1992
2020,2005,2016,1990,2013,1995,1993,2009,2015,1998,2003
